		Earners	Median age of earners	Sum	Median	Mean	P80/P20	P80/P50	P20/P50	P10/P50	Gini coefficient	Top 1%	Top 5%	Top 10%	Lowest Quartile	Second Quartile	Third Quartile	Highest Quartile
14850	Lismore	 27,131	  45 	 1,415,328,334	 44,237	 52,166	7.19 	1.86 	0.26 	0.08 	0.490 	7.1 	19.5 	30.8 	30.9 	29.4 	25.3 	14.4 
14870	Lithgow	 11,409	  45 	 695,134,093	 50,044	 60,929	6.88 	1.97 	0.29 	0.08 	0.483 	5.9 	18.5 	30.3 	27.7 	26.6 	24.4 	21.3 
14900	Liverpool	 131,206	  39 	 8,102,967,470	 52,670	 61,758	5.58 	1.82 	0.33 	0.12 	0.451 	6.3 	17.8 	28.8 	25.5 	26.4 	27.4 	20.7 
14920	Liverpool Plains	 4,393	  47 	 239,300,393	 46,095	 54,473	7.67 	1.89 	0.25 	0.06 	0.539 	7.7 	20.8 	32.8 	30.8 	27.5 	24.9 	16.9 
14950	Lockhart	 1,949	  48 	 108,781,980	 51,182	 55,814	5.89 	1.86 	0.32 	0.09 	0.626 	7.2 	22.5 	34.9 	26.3 	27.6 	26.0 	20.1 
15050	Maitland	 56,203	  40 	 3,759,164,284	 56,604	 66,885	5.54 	1.85 	0.33 	0.11 	0.449 	5.8 	17.4 	28.7 	23.4 	25.3 	26.7 	24.5 
15240	Mid-Coast	 52,639	  50 	 2,654,251,506	 40,155	 50,424	8.79 	1.97 	0.22 	0.06 	0.518 	8.3 	21.4 	33.3 	34.5 	29.4 	22.4 	13.8 
15270	Mid-Western Regional	 15,323	  44 	 970,907,182	 48,895	 63,363	7.56 	2.19 	0.29 	0.08 	0.516 	6.8 	19.3 	31.7 	28.1 	27.0 	21.1 	23.7 
15300	Moree Plains	 7,681	  42 	 544,626,536	 56,194	 70,906	5.85 	1.79 	0.31 	0.09 	0.545 	10.9 	26.1 	37.2 	25.2 	23.7 	28.3 	22.8 
15350	Mosman	 21,525	  48 	 4,075,504,215	 81,126	 189,338	9.57 	2.50 	0.26 	0.09 	0.697 	22.9 	45.3 	57.6 	21.5 	16.8 	16.9 	44.7 
15520	Murray River	 7,755	  48 	 446,713,854	 46,447	 57,603	7.25 	1.92 	0.27 	0.08 	0.526 	8.5 	21.8 	33.6 	29.9 	27.3 	25.1 	17.7 
15560	Murrumbidgee	 2,384	  45 	 132,069,085	 50,567	 55,398	6.04 	1.73 	0.29 	0.07 	0.560 	6.9 	21.6 	33.6 	27.4 	26.7 	30.2 	15.7 
15650	Muswellbrook	 9,643	  41 	 683,202,889	 56,098	 70,850	7.10 	2.19 	0.31 	0.09 	0.474 	5.0 	16.6 	28.3 	24.7 	24.4 	21.7 	29.2 
15700	Nambucca	 10,977	  49 	 525,696,494	 36,836	 47,891	9.48 	2.01 	0.21 	0.05 	0.549 	11.2 	23.8 	35.6 	36.5 	30.2 	21.4 	11.9 
15750	Narrabri	 7,905	  43 	 496,449,997	 52,733	 62,802	6.32 	1.93 	0.30 	0.08 	0.524 	7.7 	20.1 	31.7 	25.8 	26.2 	25.5 	22.5 
15800	Narrandera	 3,442	  46 	 194,762,462	 48,757	 56,584	6.49 	1.81 	0.28 	0.08 	0.488 	6.9 	20.0 	31.0 	27.6 	28.2 	27.5 	16.6 
15850	Narromine	 3,804	  44 	 227,180,681	 49,906	 59,722	6.97 	1.87 	0.27 	0.07 	0.538 	8.9 	22.6 	34.0 	28.1 	26.8 	25.8 	19.3 
15900	Newcastle	 109,766	  39 	 7,989,088,774	 57,499	 72,783	5.90 	1.90 	0.32 	0.10 	0.484 	8.8 	21.5 	32.6 	23.8 	24.3 	25.2 	26.7 
15950	North Sydney	 53,076	  42 	 6,885,695,716	 86,468	 129,733	6.36 	2.00 	0.31 	0.12 	0.553 	14.7 	30.4 	41.5 	18.2 	16.1 	19.7 	46.1 
15990	Northern Beaches	 190,567	  45 	 20,121,993,504	 64,517	 105,590	7.65 	2.23 	0.29 	0.10 	0.583 	15.2 	31.7 	43.5 	23.4 	21.0 	20.6 	35.0 
16100	Oberon	 3,409	  48 	 203,751,769	 51,370	 59,769	6.79 	1.85 	0.27 	0.08 	0.491 	6.6 	19.0 	30.1 	27.5 	25.3 	26.5 	20.6 
16150	Orange	 26,932	  41 	 1,874,980,839	 57,748	 69,619	6.02 	1.86 	0.31 	0.10 	0.468 	7.2 	19.5 	30.5 	23.9 	23.8 	26.6 	25.6 
16200	Parkes	 8,545	  43 	 535,103,052	 51,712	 62,622	6.90 	1.90 	0.27 	0.08 	0.507 	8.6 	21.2 	32.4 	27.2 	25.6 	26.2 	21.0 
16260	Parramatta	 171,959	  38 	 12,172,789,130	 57,054	 70,789	6.41 	1.96 	0.31 	0.11 	0.475 	6.7 	19.0 	30.5 	25.1 	23.5 	23.9 	27.4 
16350	Penrith	 134,447	  39 	 8,960,236,787	 59,010	 66,645	4.90 	1.73 	0.35 	0.13 	0.429 	6.1 	17.1 	27.6 	22.0 	24.6 	29.7 	23.6 
16380	Port Macquarie-Hastings	 51,898	  47 	 2,905,675,077	 44,883	 55,988	7.71 	1.96 	0.25 	0.08 	0.504 	8.1 	21.1 	32.7 	31.2 	28.1 	23.5 	17.1 
16400	Port Stephens	 45,106	  46 	 2,668,632,065	 47,480	 59,164	7.07 	1.97 	0.28 	0.08 	0.490 	7.3 	19.9 	31.4 	29.1 	26.8 	24.4 	19.7 
16490	Queanbeyan-Palerang Regional	 44,229	  42 	 3,617,044,685	 70,833	 81,780	4.23 	1.70 	0.40 	0.15 	0.428 	6.4 	18.0 	28.5 	17.3 	21.0 	28.3 	33.4 
16550	Randwick	 95,842	  40 	 9,786,328,628	 67,516	 102,109	7.10 	2.07 	0.29 	0.10 	0.561 	14.3 	30.0 	41.3 	22.8 	20.0 	21.1 	36.1 
16610	Richmond Valley	 13,049	  44 	 624,036,951	 43,885	 47,823	6.43 	1.69 	0.26 	0.08 	0.473 	5.8 	17.7 	29.0 	30.7 	31.9 	26.7 	10.7 
16700	Ryde	 89,675	  40 	 7,272,326,779	 60,401	 81,096	6.99 	2.02 	0.29 	0.10 	0.516 	10.0 	23.6 	35.1 	24.9 	21.7 	22.7 	30.8 
16900	Shellharbour	 46,531	  41 	 3,026,260,640	 54,475	 65,038	5.70 	1.88 	0.33 	0.12 	0.451 	5.8 	17.6 	28.7 	24.3 	26.1 	26.0 	23.6 
16950	Shoalhaven	 61,688	  46 	 3,502,239,282	 44,829	 56,773	7.25 	1.98 	0.27 	0.08 	0.499 	8.1 	21.0 	32.5 	30.4 	28.6 	23.4 	17.6 
17000	Singleton	 15,538	  41 	 1,155,674,658	 56,899	 74,377	7.28 	2.25 	0.31 	0.09 	0.493 	6.4 	18.5 	30.1 	25.0 	23.6 	20.3 	31.0 
17040	Snowy Monaro Regional	 14,399	  45 	 884,864,677	 49,364	 61,453	6.40 	1.94 	0.30 	0.08 	0.494 	7.6 	20.3 	31.9 	26.8 	27.9 	24.8 	20.5 
17080	Snowy Valleys	 9,089	  46 	 554,530,976	 50,674	 61,011	6.75 	1.92 	0.28 	0.09 	0.477 	6.9 	19.2 	30.5 	27.2 	26.8 	25.2 	20.9 
17100	Strathfield	 32,892	  35 	 2,437,937,659	 52,984	 74,119	6.03 	2.04 	0.34 	0.13 	0.521 	11.6 	25.4 	36.7 	25.0 	26.6 	23.5 	24.9 
17150	Sutherland Shire	 156,428	  44 	 13,263,864,799	 64,637	 84,792	6.26 	1.93 	0.31 	0.10 	0.500 	9.6 	23.0 	34.2 	22.5 	21.3 	23.3 	32.9 
17200	Sydney	 167,833	  35 	 16,769,272,094	 65,875	 99,916	6.92 	2.09 	0.30 	0.10 	0.560 	15.4 	30.0 	41.0 	22.6 	20.9 	21.0 	35.5 
17310	Tamworth Regional	 38,713	  42 	 2,324,930,798	 51,991	 60,056	6.00 	1.77 	0.30 	0.09 	0.472 	7.6 	19.4 	30.4 	26.3 	26.7 	28.3 	18.8 
17350	Temora	 3,787	  47 	 221,647,166	 46,113	 58,528	7.94 	1.98 	0.25 	0.07 	0.557 	8.3 	23.7 	35.8 	29.9 	27.7 	23.7 	18.7 
17400	Tenterfield	 3,750	  51 	 152,488,032	 31,516	 40,663	12.46 	2.20 	0.18 	0.03 	0.590 	7.1 	21.5 	34.7 	40.4 	30.5 	18.8 	10.2 
17420	The Hills Shire	 131,403	  43 	 11,748,262,286	 66,141	 89,406	7.17 	2.04 	0.28 	0.09 	0.518 	10.7 	23.9 	35.2 	23.5 	20.4 	20.9 	35.2 
17550	Tweed	 58,914	  46 	 3,347,262,438	 43,837	 56,816	6.97 	1.97 	0.28 	0.09 	0.509 	9.2 	22.4 	34.0 	30.5 	29.6 	23.0 	16.8 
17620	Upper Hunter Shire	 9,147	  43 	 725,247,514	 52,251	 79,288	6.82 	2.01 	0.29 	0.09 	0.644 	27.5 	37.8 	47.6 	26.5 	26.2 	24.6 	22.7 
17640	Upper Lachlan Shire	 5,275	  50 	 321,462,071	 50,597	 60,941	6.49 	1.90 	0.29 	0.07 	0.509 	7.5 	20.5 	32.0 	27.2 	26.3 	25.7 	20.9 
17650	Uralla	 3,643	  48 	 200,240,978	 46,503	 54,966	7.21 	1.90 	0.26 	0.07 	0.519 	7.1 	20.2 	31.8 	30.0 	28.3 	24.3 	17.4 
17750	Wagga Wagga	 42,737	  40 	 2,850,413,064	 56,343	 66,697	5.16 	1.77 	0.34 	0.11 	0.457 	8.1 	19.8 	30.4 	23.1 	25.7 	28.9 	22.3 
17850	Walcha	 1,931	  50 	 113,516,108	 47,225	 58,786	7.20 	1.93 	0.27 	0.06 	0.532 	8.4 	22.3 	34.5 	29.4 	27.8 	24.5 	18.3 
17900	Walgett	 3,037	  43 	 221,305,923	 43,903	 72,870	9.50 	2.09 	0.22 	0.06 	0.677 	18.1 	39.3 	50.4 	32.8 	26.0 	22.5 	18.8 
17950	Warren	 1,622	  44 	 121,229,463	 53,041	 74,741	7.82 	1.91 	0.24 	0.06 	0.592 	15.0 	31.1 	42.5 	27.4 	23.8 	25.8 	23.0 
18020	Warrumbungle Shire	 4,901	  47 	 261,821,843	 42,797	 53,422	8.83 	1.91 	0.22 	0.04 	0.580 	10.6 	24.9 	36.9 	32.9 	28.0 	23.6 	15.5 
18050	Waverley	 52,714	  38 	 7,023,455,957	 75,386	 133,237	7.55 	2.24 	0.30 	0.11 	0.612 	18.6 	36.1 	47.7 	20.7 	19.1 	18.7 	41.5 
18100	Weddin	 2,095	  50 	 115,382,986	 44,033	 55,075	9.04 	1.93 	0.21 	0.06 	0.569 	8.0 	24.5 	36.8 	32.4 	27.5 	23.9 	16.3 
18200	Wentworth	 5,831	  39 	 306,864,921	 45,651	 52,626	6.33 	1.76 	0.28 	0.09 	0.511 	7.5 	20.9 	32.8 	30.2 	31.8 	23.5 	14.6 
18250	Willoughby	 53,098	  44 	 6,158,786,501	 67,384	 115,989	9.29 	2.41 	0.26 	0.08 	0.604 	14.3 	32.3 	44.6 	24.6 	19.2 	17.9 	38.3 
18350	Wingecarribee	 34,223	  49 	 2,483,518,870	 49,835	 72,569	7.63 	2.10 	0.28 	0.09 	0.566 	13.8 	28.6 	40.1 	28.3 	25.6 	22.4 	23.6 
18400	Wollondilly	 34,960	  42 	 2,493,537,179	 59,747	 71,325	5.23 	1.83 	0.35 	0.13 	0.456 	7.3 	19.0 	29.8 	21.9 	24.6 	26.5 	26.9 
18450	Wollongong	 132,916	  41 	 9,339,258,316	 55,061	 70,264	6.59 	1.97 	0.30 	0.10 	0.488 	8.0 	20.8 	32.2 	25.7 	24.3 	23.8 	26.2 
18500	Woollahra	 40,486	  45 	 8,286,952,447	 87,437	 204,687	8.14 	2.36 	0.29 	0.10 	0.703 	26.6 	47.7 	59.1 	19.0 	16.7 	17.1 	47.2 
18710	Yass Valley	 11,840	  46 	 957,028,704	 64,299	 80,830	5.85 	1.85 	0.32 	0.10 	0.495 	9.9 	22.7 	33.5 	22.3 	21.4 	24.5 	31.8 
19399	Unincorporated NSW	  536 	  46 	 30,350,087	 48,231	 56,623	5.68 	1.86 	0.33 	0.09 	0.601 	10.3 	24.8 	36.4 	26.7 	31.2 	24.9 	17.2 
Victoria		 4,226,929	  41 	 303,670,036,100	 54,708	 71,842	6.13 	1.94 	0.32 	0.11 	0.504 	10.3 	23.4 	34.7 	25.0 	25.3 	25.0 	24.7 
20110	Alpine	 8,916	  48 	 496,431,604	 44,544	 55,679	7.14 	1.95 	0.27 	0.08 	0.499 	7.3 	20.6 	32.3 	30.5 	28.8 	23.9 	16.8 
20260	Ararat	 6,864	  45 	 392,018,727	 46,882	 57,112	6.48 	1.91 	0.29 	0.10 	0.496 	7.1 	20.2 	31.6 	29.0 	28.2 	25.4 	17.5 
20570	Ballarat	 70,190	  41 	 4,536,114,420	 52,543	 64,626	5.87 	1.86 	0.32 	0.11 	0.476 	8.3 	20.6 	31.6 	25.4 	26.8 	26.5 	21.3 
20660	Banyule	 83,679	  43 	 6,817,431,847	 62,701	 81,471	6.51 	1.93 	0.30 	0.10 	0.500 	9.7 	22.8 	34.0 	23.6 	21.5 	23.4 	31.5 
20740	Bass Coast	 24,115	  49 	 1,318,613,731	 41,895	 54,680	7.59 	2.05 	0.27 	0.09 	0.513 	7.8 	21.4 	33.4 	31.7 	30.0 	21.8 	16.5 
20830	Baw Baw	 36,569	  43 	 2,236,397,273	 50,253	 61,156	6.26 	1.90 	0.30 	0.10 	0.477 	6.8 	19.3 	30.7 	26.7 	27.4 	25.3 	20.5 
20910	Bayside	 72,288	  49 	 8,629,997,378	 68,579	 119,384	9.47 	2.40 	0.25 	0.08 	0.608 	15.2 	33.0 	45.3 	24.5 	19.0 	17.5 	39.1 
21010	Benalla	 8,901	  49 	 491,257,719	 45,766	 55,191	6.87 	1.89 	0.28 	0.09 	0.490 	6.6 	19.3 	30.8 	29.9 	27.8 	25.8 	16.5 
21110	Boroondara	 122,252	  45 	 13,959,666,733	 65,503	 114,188	9.11 	2.34 	0.26 	0.08 	0.613 	16.5 	34.2 	46.3 	25.1 	19.5 	18.6 	36.7 
21180	Brimbank	 115,527	  39 	 6,512,465,201	 48,508	 56,372	5.61 	1.81 	0.32 	0.12 	0.448 	5.5 	17.3 	28.4 	27.4 	28.7 	27.2 	16.8 
